read_id	nh
ILLUMINA-075005_0053_FC:3:1:3920:1058#0	1
ILLUMINA-075005_0053_FC:3:1:6129:1058#0	1
ILLUMINA-075005_0053_FC:3:1:6263:1058#0	1
ILLUMINA-075005_0053_FC:3:1:7383:1059#0	1
ILLUMINA-075005_0053_FC:3:1:8419:1059#0	1
ILLUMINA-075005_0053_FC:3:1:8800:1058#0	1
ILLUMINA-075005_0053_FC:3:1:8862:1058#0	1
ILLUMINA-075005_0053_FC:3:1:11306:1058#0	1
ILLUMINA-075005_0053_FC:3:1:11347:1058#0	1
ILLUMINA-075005_0053_FC:3:1:1727:1067#0	1
ILLUMINA-075005_0053_FC:3:1:1993:1067#0	1
ILLUMINA-075005_0053_FC:3:1:2462:1066#0	1
ILLUMINA-075005_0053_FC:3:1:2685:1060#0	1
ILLUMINA-075005_0053_FC:3:1:2720:1061#0	1
ILLUMINA-075005_0053_FC:3:1:3174:1068#0	1
ILLUMINA-075005_0053_FC:3:1:3441:1068#0	1
ILLUMINA-075005_0053_FC:3:1:3513:1062#0	1
ILLUMINA-075005_0053_FC:3:1:3542:1068#0	1
ILLUMINA-075005_0053_FC:3:1:3659:1062#0	1
ILLUMINA-075005_0053_FC:3:1:3695:1062#0	1
ILLUMINA-075005_0053_FC:3:1:3783:1069#0	1
ILLUMINA-075005_0053_FC:3:1:3966:1066#0	1
ILLUMINA-075005_0053_FC:3:1:4158:1063#0	1
ILLUMINA-075005_0053_FC:3:1:4647:1062#0	1
ILLUMINA-075005_0053_FC:3:1:4696:1061#0	1
ILLUMINA-075005_0053_FC:3:1:5223:1064#0	1
ILLUMINA-075005_0053_FC:3:1:5757:1063#0	1
ILLUMINA-075005_0053_FC:3:1:5954:1063#0	1
ILLUMINA-075005_0053_FC:3:1:6731:1063#0	1
ILLUMINA-075005_0053_FC:3:1:6765:1062#0	1
ILLUMINA-075005_0053_FC:3:1:7137:1070#0	1
ILLUMINA-075005_0053_FC:3:1:7242:1070#0	1
ILLUMINA-075005_0053_FC:3:1:7857:1060#0	1
ILLUMINA-075005_0053_FC:3:1:8921:1070#0	1
ILLUMINA-075005_0053_FC:3:1:9314:1067#0	1
ILLUMINA-075005_0053_FC:3:1:9468:1059#0	1
ILLUMINA-075005_0053_FC:3:1:9491:1064#0	1
ILLUMINA-075005_0053_FC:3:1:9517:1059#0	1
ILLUMINA-075005_0053_FC:3:1:10080:1061#0	1
ILLUMINA-075005_0053_FC:3:1:10460:1066#0	1
ILLUMINA-075005_0053_FC:3:1:10807:1068#0	1
ILLUMINA-075005_0053_FC:3:1:11563:1067#0	1
