read_id,star_pos,star_strand,star_nM,my_status,my_pos,my_strand,my_mismatches,match
ILLUMINA-075005_0053_FC:3:1:7383:1059#0,21172619,-,0,unique,21172619,-,1,yes
ILLUMINA-075005_0053_FC:3:1:8862:1058#0,13922144,+,1,unique,13922144,+,2,yes
ILLUMINA-075005_0053_FC:3:1:9517:1059#0,3517025,-,1,unique,3517025,-,1,yes
ILLUMINA-075005_0053_FC:3:1:15199:1059#0,13922109,+,0,unique,13922109,+,1,yes
ILLUMINA-075005_0053_FC:3:1:17829:1059#0,6478340,+,0,unique,6478340,+,1,yes
ILLUMINA-075005_0053_FC:3:1:4021:1080#0,13921637,+,0,unique,13921637,+,0,yes
ILLUMINA-075005_0053_FC:3:1:5106:1078#0,9700181,-,1,unique,9700181,-,1,yes
ILLUMINA-075005_0053_FC:3:1:5567:1078#0,13933381,+,1,unique,13933381,+,1,yes
ILLUMINA-075005_0053_FC:3:1:7528:1082#0,10241659,-,0,unique,10241659,-,0,yes
ILLUMINA-075005_0053_FC:3:1:9949:1074#0,14741411,+,0,multi,,,,no
ILLUMINA-075005_0053_FC:3:1:10560:1079#0,6934091,+,3,unique,6934091,+,3,yes
ILLUMINA-075005_0053_FC:3:1:11201:1080#0,561031,+,0,unique,561031,+,0,yes
ILLUMINA-075005_0053_FC:3:1:12221:1076#0,16777347,-,0,unique,16777347,-,0,yes
ILLUMINA-075005_0053_FC:3:1:12315:1080#0,13922244,+,1,unique,13922244,+,1,yes
ILLUMINA-075005_0053_FC:3:1:14163:1075#0,2746910,+,0,unique,2746910,+,0,yes
ILLUMINA-075005_0053_FC:3:1:14506:1073#0,8126215,+,1,unique,8126215,+,1,yes
ILLUMINA-075005_0053_FC:3:1:1808:1091#0,13945109,+,0,unique,13945109,+,0,yes
ILLUMINA-075005_0053_FC:3:1:2420:1084#0,1606875,-,0,unique,1606875,-,0,yes
ILLUMINA-075005_0053_FC:3:1:4433:1091#0,22247148,+,0,unique,22247148,+,0,yes
ILLUMINA-075005_0053_FC:3:1:4893:1087#0,11003680,-,0,unique,11003680,-,0,yes
ILLUMINA-075005_0053_FC:3:1:7561:1094#0,10847434,+,0,unique,10847434,+,0,yes
ILLUMINA-075005_0053_FC:3:1:10464:1088#0,21678272,+,0,unique,21678272,+,0,yes
ILLUMINA-075005_0053_FC:3:1:10977:1093#0,12106018,-,0,unique,12106018,-,0,yes
ILLUMINA-075005_0053_FC:3:1:11743:1083#0,13945532,+,0,unique,13945532,+,0,yes
ILLUMINA-075005_0053_FC:3:1:13123:1091#0,13945862,+,1,unique,13945862,+,1,yes
