read_id,star_rname,star_pos,my_status,my_rname,my_pos,match
ILLUMINA-075005_0053_FC:3:1:3920:1058#0,2R,12759819,unique,2R,12759819,yes
ILLUMINA-075005_0053_FC:3:1:6129:1058#0,X,7738053,unique,X,7738053,yes
ILLUMINA-075005_0053_FC:3:1:6263:1058#0,2R,23881277,unique,2R,23881277,yes
ILLUMINA-075005_0053_FC:3:1:7383:1059#0,2L,21172619,unique,2L,21172619,yes
ILLUMINA-075005_0053_FC:3:1:8419:1059#0,3L,17847565,unique,3L,17847565,yes
ILLUMINA-075005_0053_FC:3:1:8800:1058#0,2R,10820734,unique,2R,10820734,yes
ILLUMINA-075005_0053_FC:3:1:8862:1058#0,2L,13922144,unique,2L,13922144,yes
ILLUMINA-075005_0053_FC:3:1:11306:1058#0,3L,1566948,unique,3L,1566948,yes
ILLUMINA-075005_0053_FC:3:1:11347:1058#0,2R,22640781,unique,2R,22640781,yes
ILLUMINA-075005_0053_FC:3:1:1727:1067#0,3R,29220874,unique,3R,29220874,yes
ILLUMINA-075005_0053_FC:3:1:1993:1067#0,2R,15858208,unique,2R,15858208,yes
ILLUMINA-075005_0053_FC:3:1:2462:1066#0,3L,8125975,unique,3L,8125975,yes
ILLUMINA-075005_0053_FC:3:1:2685:1060#0,3L,17238796,unique,3L,17238796,yes
ILLUMINA-075005_0053_FC:3:1:2720:1061#0,3R,14733164,unique,3R,14733164,yes
ILLUMINA-075005_0053_FC:3:1:3174:1068#0,2R,15858492,unique,2R,15858492,yes
ILLUMINA-075005_0053_FC:3:1:3441:1068#0,2R,15544339,unique,2R,15544339,yes
ILLUMINA-075005_0053_FC:3:1:3513:1062#0,X,7934600,unique,X,7934600,yes
ILLUMINA-075005_0053_FC:3:1:3542:1068#0,3R,7087515,unique,3R,7087515,yes
ILLUMINA-075005_0053_FC:3:1:3659:1062#0,2R,19448102,unique,2R,19448102,yes
ILLUMINA-075005_0053_FC:3:1:3695:1062#0,3R,21360447,unique,3R,21360447,yes
ILLUMINA-075005_0053_FC:3:1:3783:1069#0,2R,24171509,unique,2R,24171509,yes
ILLUMINA-075005_0053_FC:3:1:3966:1066#0,X,6531140,unique,X,6531140,yes
ILLUMINA-075005_0053_FC:3:1:4158:1063#0,3L,18899721,unique,3L,18899721,yes
ILLUMINA-075005_0053_FC:3:1:4647:1062#0,3R,26053351,unique,3R,26053351,yes
ILLUMINA-075005_0053_FC:3:1:4696:1061#0,2R,7673726,unique,2R,7673726,yes
ILLUMINA-075005_0053_FC:3:1:5223:1064#0,3L,16094374,unique,3L,16094374,yes
ILLUMINA-075005_0053_FC:3:1:5757:1063#0,3R,27090305,unique,3R,27090305,yes
ILLUMINA-075005_0053_FC:3:1:5954:1063#0,3L,8327050,unique,3L,8327050,yes
ILLUMINA-075005_0053_FC:3:1:6731:1063#0,3L,3195466,unique,3L,3195466,yes
ILLUMINA-075005_0053_FC:3:1:6765:1062#0,3R,15266278,unique,3R,15266278,yes
ILLUMINA-075005_0053_FC:3:1:7137:1070#0,3R,9358835,unique,3R,9358835,yes
ILLUMINA-075005_0053_FC:3:1:7242:1070#0,X,9159594,unique,X,9159594,yes
ILLUMINA-075005_0053_FC:3:1:7857:1060#0,3R,32057298,unique,3R,32057298,yes
ILLUMINA-075005_0053_FC:3:1:8921:1070#0,X,15868883,unique,X,15868883,yes
ILLUMINA-075005_0053_FC:3:1:9314:1067#0,2R,13497623,unique,2R,13497623,yes
ILLUMINA-075005_0053_FC:3:1:9468:1059#0,X,7934492,unique,X,7934492,yes
ILLUMINA-075005_0053_FC:3:1:9491:1064#0,3R,15440639,unique,3R,15440639,yes
ILLUMINA-075005_0053_FC:3:1:9517:1059#0,2L,3517025,unique,2L,3517025,yes
ILLUMINA-075005_0053_FC:3:1:10080:1061#0,4,66295,unique,4,66295,yes
ILLUMINA-075005_0053_FC:3:1:10460:1066#0,2R,8892721,unique,2R,8892721,yes
ILLUMINA-075005_0053_FC:3:1:10807:1068#0,3L,11133364,unique,3L,11133364,yes
ILLUMINA-075005_0053_FC:3:1:11563:1067#0,3L,11992076,unique,3L,11992076,yes
ILLUMINA-075005_0053_FC:3:1:11873:1062#0,2R,17546760,unique,2R,17546760,yes
ILLUMINA-075005_0053_FC:3:1:12472:1059#0,X,19598484,unique,X,19598484,yes
ILLUMINA-075005_0053_FC:3:1:12624:1062#0,3L,16583540,unique,3L,16583540,yes
ILLUMINA-075005_0053_FC:3:1:12971:1069#0,3R,7253466,unique,3R,7253466,yes
