read_id	my_status	my_rname	my_pos	my_mismatches	my_num_hits
ILLUMINA-075005_0053_FC:3:1:3920:1058#0	unique	2R	12759819	1	1
ILLUMINA-075005_0053_FC:3:1:6129:1058#0	unique	X	7738053	1	1
ILLUMINA-075005_0053_FC:3:1:6263:1058#0	unique	2R	23881277	1	1
ILLUMINA-075005_0053_FC:3:1:7383:1059#0	unique	2L	21172619	1	1
ILLUMINA-075005_0053_FC:3:1:8419:1059#0	unique	3L	17847565	1	1
ILLUMINA-075005_0053_FC:3:1:8800:1058#0	unique	2R	10820734	1	1
ILLUMINA-075005_0053_FC:3:1:8862:1058#0	unique	2L	13922144	2	1
ILLUMINA-075005_0053_FC:3:1:11306:1058#0	unique	3L	1566948	1	1
ILLUMINA-075005_0053_FC:3:1:11347:1058#0	unique	2R	22640781	2	1
ILLUMINA-075005_0053_FC:3:1:1727:1067#0	unique	3R	29220874	0	1
ILLUMINA-075005_0053_FC:3:1:1993:1067#0	unique	2R	15858208	0	1
ILLUMINA-075005_0053_FC:3:1:2462:1066#0	unique	3L	8125975	0	1
ILLUMINA-075005_0053_FC:3:1:2685:1060#0	unique	3L	17238796	1	1
ILLUMINA-075005_0053_FC:3:1:2720:1061#0	unique	3R	14733164	1	1
ILLUMINA-075005_0053_FC:3:1:3174:1068#0	unique	2R	15858492	0	1
ILLUMINA-075005_0053_FC:3:1:3441:1068#0	unique	2R	15544339	0	1
ILLUMINA-075005_0053_FC:3:1:3513:1062#0	unique	X	7934600	0	1
ILLUMINA-075005_0053_FC:3:1:3542:1068#0	unique	3R	7087515	1	1
ILLUMINA-075005_0053_FC:3:1:3659:1062#0	unique	2R	19448102	1	1
ILLUMINA-075005_0053_FC:3:1:3695:1062#0	unique	3R	21360447	0	1
ILLUMINA-075005_0053_FC:3:1:3783:1069#0	unique	2R	24171509	0	1
ILLUMINA-075005_0053_FC:3:1:3966:1066#0	unique	X	6531140	0	1
ILLUMINA-075005_0053_FC:3:1:4158:1063#0	unique	3L	18899721	0	1
ILLUMINA-075005_0053_FC:3:1:4647:1062#0	unique	3R	26053351	0	1
ILLUMINA-075005_0053_FC:3:1:4696:1061#0	unique	2R	7673726	0	1
ILLUMINA-075005_0053_FC:3:1:5223:1064#0	unique	3L	16094374	1	1
ILLUMINA-075005_0053_FC:3:1:5757:1063#0	unique	3R	27090305	0	1
ILLUMINA-075005_0053_FC:3:1:5954:1063#0	unique	3L	8327050	1	1
ILLUMINA-075005_0053_FC:3:1:6731:1063#0	unique	3L	3195466	0	1
ILLUMINA-075005_0053_FC:3:1:6765:1062#0	unique	3R	15266278	0	1
ILLUMINA-075005_0053_FC:3:1:7137:1070#0	unique	3R	9358835	0	1
ILLUMINA-075005_0053_FC:3:1:7242:1070#0	unique	X	9159594	0	1
ILLUMINA-075005_0053_FC:3:1:7857:1060#0	unique	3R	32057298	0	1
ILLUMINA-075005_0053_FC:3:1:8921:1070#0	unique	X	15868883	0	1
ILLUMINA-075005_0053_FC:3:1:9314:1067#0	unique	2R	13497623	0	1
ILLUMINA-075005_0053_FC:3:1:9468:1059#0	unique	X	7934492	1	1
ILLUMINA-075005_0053_FC:3:1:9491:1064#0	unique	3R	15440639	0	1
ILLUMINA-075005_0053_FC:3:1:9517:1059#0	unique	2L	3517025	1	1
ILLUMINA-075005_0053_FC:3:1:10080:1061#0	unique	4	66295	0	1
ILLUMINA-075005_0053_FC:3:1:10460:1066#0	unique	2R	8892721	0	1
ILLUMINA-075005_0053_FC:3:1:10807:1068#0	unique	3L	11133364	0	1
ILLUMINA-075005_0053_FC:3:1:11563:1067#0	unique	3L	11992076	0	1
ILLUMINA-075005_0053_FC:3:1:11873:1062#0	unique	2R	17546760	0	1
ILLUMINA-075005_0053_FC:3:1:12472:1059#0	unique	X	19598484	0	1
ILLUMINA-075005_0053_FC:3:1:12624:1062#0	unique	3L	16583540	0	1
ILLUMINA-075005_0053_FC:3:1:12971:1069#0	unique	3R	7253466	0	1
ILLUMINA-075005_0053_FC:3:1:13269:1068#0	unique	3L	3718765	0	1
ILLUMINA-075005_0053_FC:3:1:14146:1064#0	unique	3R	22016880	0	1
ILLUMINA-075005_0053_FC:3:1:15199:1059#0	unique	2L	13922109	1	1
ILLUMINA-075005_0053_FC:3:1:16382:1061#0	unique	X	2026018	0	1
ILLUMINA-075005_0053_FC:3:1:16841:1060#0	unique	3L	16611508	0	1
ILLUMINA-075005_0053_FC:3:1:16883:1069#0	unique	3L	16307854	0	1
ILLUMINA-075005_0053_FC:3:1:16958:1061#0	unique	X	17143686	0	1
ILLUMINA-075005_0053_FC:3:1:17219:1070#0	unique	2R	21071591	3	1
ILLUMINA-075005_0053_FC:3:1:17273:1059#0	unique	3L	1667614	1	1
ILLUMINA-075005_0053_FC:3:1:17829:1059#0	unique	2L	6478340	1	1
ILLUMINA-075005_0053_FC:3:1:17924:1065#0	unique	X	1479129	0	1
ILLUMINA-075005_0053_FC:3:1:17955:1064#0	unique	3R	14327392	0	1
ILLUMINA-075005_0053_FC:3:1:18313:1060#0	unique	X	7893370	1	1
ILLUMINA-075005_0053_FC:3:1:18623:1066#0	unique	3R	26257485	0	1
ILLUMINA-075005_0053_FC:3:1:18955:1067#0	unique	2R	11146516	0	1
ILLUMINA-075005_0053_FC:3:1:19343:1060#0	unique	3R	9778926	0	1
ILLUMINA-075005_0053_FC:3:1:19458:1069#0	unique	2R	16570226	0	1
ILLUMINA-075005_0053_FC:3:1:19572:1066#0	unique	2R	8129666	1	1
ILLUMINA-075005_0053_FC:3:1:19606:1061#0	unique	X	21318387	0	1
