read_id	status	pos_1based	strand	mismatches	num_hits
ILLUMINA-075005_0053_FC:3:1:3920:1058#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:5573:1058#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:6129:1058#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:6263:1058#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:7383:1059#0/1	unique	21172619	-	1	1
ILLUMINA-075005_0053_FC:3:1:8419:1059#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:8800:1058#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:8862:1058#0/1	unique	13922144	+	2	1
ILLUMINA-075005_0053_FC:3:1:11271:1058#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:11306:1058#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:11347:1058#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:1473:1065#0/1	unique	13933212	+	1	1
ILLUMINA-075005_0053_FC:3:1:1574:1065#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:1727:1067#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:1817:1062#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:1993:1067#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:2121:1065#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:2212:1070#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:2462:1066#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:2685:1060#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:2720:1061#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:3174:1068#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:3373:1067#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:3441:1068#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:3513:1062#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:3542:1068#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:3659:1062#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:3695:1062#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:3783:1069#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:3812:1063#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:3966:1066#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:4158:1063#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:4647:1062#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:4696:1061#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:4721:1064#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:4742:1069#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:4886:1062#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:5149:1064#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:5223:1064#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:5757:1063#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:5954:1063#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:6731:1063#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:6765:1062#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:7137:1070#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:7221:1066#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:7242:1070#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:7568:1068#0/1	unique	18442897	+	2	1
ILLUMINA-075005_0053_FC:3:1:7857:1060#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:8044:1060#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:8921:1070#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:9314:1067#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:9342:1066#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:9468:1059#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:9491:1064#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:9517:1059#0/1	unique	3517025	-	1	1
ILLUMINA-075005_0053_FC:3:1:9986:1066#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:10080:1061#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:10460:1066#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:10807:1068#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:10951:1068#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:11153:1065#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:11563:1067#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:11873:1062#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:12472:1059#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:12492:1066#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:12557:1060#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:12624:1062#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:12643:1069#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:12768:1066#0/1	unique	10848725	+	1	1
ILLUMINA-075005_0053_FC:3:1:12883:1069#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:12971:1069#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:13145:1059#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:13269:1068#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:14146:1064#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:14273:1060#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:14341:1066#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:14738:1065#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:14762:1069#0/1	unique	10847776	+	3	1
ILLUMINA-075005_0053_FC:3:1:14923:1067#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:15059:1066#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:15096:1066#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:15199:1059#0/1	unique	13922109	+	1	1
ILLUMINA-075005_0053_FC:3:1:15332:1066#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:16382:1061#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:16690:1061#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:16841:1060#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:16883:1069#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:16958:1061#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:17219:1070#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:17273:1059#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:17829:1059#0/1	unique	6478340	+	1	1
ILLUMINA-075005_0053_FC:3:1:17886:1065#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:17924:1065#0/1	unmapped				0
ILLUMINA-075005_0053_FC:3:1:17955:1064#0/1	unmapped				0
