read_id,star_rname,star_pos,star_mismatches,my_rname,my_pos,my_mismatches,bolja_pozicija
ILLUMINA-075005_0053_FC:3:8:10065:3458#0,3L,3901348,5,3L,3901576,3,vlastiti
ILLUMINA-075005_0053_FC:3:14:17033:20323#0,3L,28103368,9,3L,18780015,3,vlastiti
ILLUMINA-075005_0053_FC:3:43:4446:18736#0,2L,14743463,4,2L,14743493,3,vlastiti
ILLUMINA-075005_0053_FC:3:65:11962:13850#0,2L,14743463,4,2L,14743493,3,vlastiti
ILLUMINA-075005_0053_FC:3:60:12879:20810#0,2L,14743463,4,2L,14743493,3,vlastiti
ILLUMINA-075005_0053_FC:3:92:2433:16561#0,2L,14743463,4,2L,14743493,3,vlastiti
ILLUMINA-075005_0053_FC:3:111:10185:6422#0,2L,14743463,4,2L,14743493,3,vlastiti
ILLUMINA-075005_0053_FC:3:112:5080:19461#0,2L,14743463,4,2L,14743493,3,vlastiti
ILLUMINA-075005_0053_FC:3:113:9217:3565#0,2L,14743463,4,2L,14743493,3,vlastiti
